,Pred_Pollutant
2020-06-14 13:00:00,64.67962554087379
2020-06-14 14:00:00,62.18226052476191
2020-06-14 15:00:00,59.975552723011695
2020-06-14 16:00:00,56.79829228618759
2020-06-14 17:00:00,53.08017169624519
2020-06-14 18:00:00,52.68929241420435
2020-06-14 19:00:00,56.403249315358906
2020-06-14 20:00:00,66.89932535315938
2020-06-14 21:00:00,74.63004350902706
2020-06-14 22:00:00,78.97037727430414
2020-06-14 23:00:00,78.92034306062794
2020-06-15 00:00:00,76.40735727488004
2020-06-15 01:00:00,72.69174996053017
2020-06-15 02:00:00,74.40121068538156
2020-06-15 03:00:00,72.54112773618044
2020-06-15 04:00:00,69.36154480814162
2020-06-15 05:00:00,67.14918389886344
2020-06-15 06:00:00,64.88189946590602
2020-06-15 07:00:00,68.90664617936206
